n_nodes,tx_pct,k_neighbors,seed,tx_distance_px,density,spacing_approx,r_over_s,mean_degree,min_degree,max_degree,isolated_nodes,n_components,connected,converged,ticks,mean_constraint_violation,procrustes_rmse,tx_energy_proxy,soft_converged,meaningful_hard
50,5.0,6,0,56.569,7.8125e-05,113.137,0.5,0.36,0,2,33,41,0,1,5,0.0,309.8449,0.000559,0,0
50,5.0,6,1,56.569,7.8125e-05,113.137,0.5,0.28,0,1,36,43,0,1,4,0.0,301.8121,0.000559,0,0
50,5.0,6,2,56.569,7.8125e-05,113.137,0.5,0.28,0,1,36,43,0,1,3,0.0,302.1797,0.000559,0,0
50,5.0,6,3,56.569,7.8125e-05,113.137,0.5,0.4,0,2,31,40,0,1,4,0.0,299.022,0.000559,0,0
50,5.0,6,4,56.569,7.8125e-05,113.137,0.5,0.24,0,2,39,44,0,1,3,0.0,300.3245,0.000559,0,0
50,5.0,10,0,56.569,7.8125e-05,113.137,0.5,0.36,0,2,33,41,0,1,5,0.0,309.8449,0.000559,0,0
50,5.0,10,1,56.569,7.8125e-05,113.137,0.5,0.28,0,1,36,43,0,1,4,0.0,301.8121,0.000559,0,0
50,5.0,10,2,56.569,7.8125e-05,113.137,0.5,0.28,0,1,36,43,0,1,3,0.0,302.1797,0.000559,0,0
50,5.0,10,3,56.569,7.8125e-05,113.137,0.5,0.4,0,2,31,40,0,1,4,0.0,299.022,0.000559,0,0
50,5.0,10,4,56.569,7.8125e-05,113.137,0.5,0.24,0,2,39,44,0,1,3,0.0,300.3245,0.000559,0,0
50,5.0,12,0,56.569,7.8125e-05,113.137,0.5,0.36,0,2,33,41,0,1,5,0.0,309.8449,0.000559,0,0
50,5.0,12,1,56.569,7.8125e-05,113.137,0.5,0.28,0,1,36,43,0,1,4,0.0,301.8121,0.000559,0,0
50,5.0,12,2,56.569,7.8125e-05,113.137,0.5,0.28,0,1,36,43,0,1,3,0.0,302.1797,0.000559,0,0
50,5.0,12,3,56.569,7.8125e-05,113.137,0.5,0.4,0,2,31,40,0,1,4,0.0,299.022,0.000559,0,0
50,5.0,12,4,56.569,7.8125e-05,113.137,0.5,0.24,0,2,39,44,0,1,3,0.0,300.3245,0.000559,0,0
50,8.0,6,0,90.51,7.8125e-05,113.137,0.8,1.04,0,3,13,25,0,1,6,0.0,307.4365,0.00181,0,0
50,8.0,6,1,90.51,7.8125e-05,113.137,0.8,1.44,0,3,8,19,0,1,7,0.0,302.3434,0.00181,0,0
50,8.0,6,2,90.51,7.8125e-05,113.137,0.8,1.24,0,3,10,22,0,1,6,0.0,302.483,0.00181,0,0
50,8.0,6,3,90.51,7.8125e-05,113.137,0.8,1.16,0,3,13,24,0,1,8,0.0,298.7977,0.00181,0,0
50,8.0,6,4,90.51,7.8125e-05,113.137,0.8,1.16,0,3,10,22,0,1,8,0.0,298.5234,0.00181,0,0
50,8.0,10,0,90.51,7.8125e-05,113.137,0.8,1.04,0,3,13,25,0,1,6,0.0,307.4365,0.00181,0,0
50,8.0,10,1,90.51,7.8125e-05,113.137,0.8,1.44,0,3,8,19,0,1,7,0.0,302.3434,0.00181,0,0
50,8.0,10,2,90.51,7.8125e-05,113.137,0.8,1.24,0,3,10,22,0,1,6,0.0,302.483,0.00181,0,0
50,8.0,10,3,90.51,7.8125e-05,113.137,0.8,1.16,0,3,13,24,0,1,8,0.0,298.7977,0.00181,0,0
50,8.0,10,4,90.51,7.8125e-05,113.137,0.8,1.16,0,3,10,22,0,1,8,0.0,298.5234,0.00181,0,0
50,8.0,12,0,90.51,7.8125e-05,113.137,0.8,1.04,0,3,13,25,0,1,6,0.0,307.4365,0.00181,0,0
